Variable,hhid,personid,respondent,cohort,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1k,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn5a,qn5b,qn5c,qn6a,qn6b,qn7,qn8a,qn8b,qn9,qn10a,qn10b,qn11a,qn11aa,qn12,qn13,qn18a,qn18b,qn18c,qn18d01,qn18dmnth,qn18dyear,qn18e,qn19b,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn26b,qn26d,qn26e,qn26estate,qn26f,qn26h,qn27a,qn27b01,qn27bmnth,qn27byear,qn27c,qn28a,qn28b,qn29b,qn29c,qn29c_months,Weight_person,Weight_person_pop,Weight_person_R1,Weight_person_R2,Weight_person_R3,Weight_person_R4,Weight_person_R5,Weight_person_R6,Weight_person_R7,Weight_person_R8,Weight_person_R9,Weight_person_R10,Weight_person_R11,Weight_person_R12,Weight_person_R13,Weight_person_R14,Weight_person_R15,Weight_person_R16,Weight_person_R17,Weight_person_R18,Weight_person_R19,Weight_person_R20,Weight_person_R21,Weight_person_R22,Weight_person_R23,Weight_person_pop_R1,Weight_person_pop_R2,Weight_person_pop_R3,Weight_person_pop_R4,Weight_person_pop_R5,Weight_person_pop_R6,Weight_person_pop_R7,Weight_person_pop_R8,Weight_person_pop_R9,Weight_person_pop_R10,Weight_person_pop_R11,Weight_person_pop_R12,Weight_person_pop_R13,Weight_person_pop_R14,Weight_person_pop_R15,Weight_person_pop_R16,Weight_person_pop_R17,Weight_person_pop_R18,Weight_person_pop_R19,Weight_person_pop_R20,Weight_person_pop_R21,Weight_person_pop_R22,Weight_person_pop_R23,qn30a,qn30d,qn31a,qn31d,qn31e,qn31f,qn31f_months,qn32a,qn32d,qn32e,qn33a,qn33d,qn33e,qn33f,qn33f_months,qn34a,qn34d,qn34e,qn34f,qn34f_months,qn35a,qn38a,qn38b,qn38c,ui_soi_pubassist,ui_soi,Weight_household,Weight_household_pop,Weight_household_R1,Weight_household_R2,Weight_household_R3,Weight_household_R4,Weight_household_R5,Weight_household_R6,Weight_household_R7,Weight_household_R8,Weight_household_R9,Weight_household_R10,Weight_household_R11,Weight_household_R12,Weight_household_R13,Weight_household_R14,Weight_household_R15,Weight_household_R16,Weight_household_R17,Weight_household_R18,Weight_household_R19,Weight_household_R20,Weight_household_R21,Weight_household_R22,Weight_household_R23,Weight_household_pop_R1,Weight_household_pop_R2,Weight_household_pop_R3,Weight_household_pop_R4,Weight_household_pop_R5,Weight_household_pop_R6,Weight_household_pop_R7,Weight_household_pop_R8,Weight_household_pop_R9,Weight_household_pop_R10,Weight_household_pop_R11,Weight_household_pop_R12,Weight_household_pop_R13,Weight_household_pop_R14,Weight_household_pop_R15,Weight_household_pop_R16,Weight_household_pop_R17,Weight_household_pop_R18,Weight_household_pop_R19,Weight_household_pop_R20,Weight_household_pop_R21,Weight_household_pop_R22,Weight_household_pop_R23,ui_agect_arrival,qn17_01,qn17_02,qn17_03,qn17_04,qn17_05,qn17_06,qn17_07,qn17_08,qn17_97,qn26ha_01,qn26ha_02,qn26ha_03,qn26ha_04,qn26ha_05,qn26ha_06,qn26ha_07,qn26ha_08,qn26ha_97,qn29a_01,qn29a_02,qn29a_03,qn29a_04,qn29a_05,qn29a_06,qn29a_07,qn29a_08,qn29a_09,qn29a_10,qn29a_11,qn29a_12,qn29a_97,qn29d_01,qn29d_02,qn29d_03,qn29d_04,qn29d_97,qn30b_01,qn30b_02,qn30b_03,qn30b_04,qn30b_05,qn31b_01,qn31b_02,qn31b_03,qn31b_04,qn31b_05,qn32b_01,qn32b_02,qn32b_03,qn32b_04,qn32b_05,qn33b_01,qn33b_02,qn33b_03,qn33b_04,qn33b_05,qn34b_01,qn34b_02,qn34b_03,qn34b_04,qn34b_05,ui_qn8a_annual,ui_qn10a_annual,ui_cashassist,ui_lfp,ui_emprate,ui_medicaidrma,ui_lpr,ui_school,ui_work
,5911,59114,0,1,4,5,9,1,35.00,2,2,96,98,2014,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,1,,,2,,1,,,2,12,2,1,,1,,,2,,1,2,2200.00,1,1,3,1.08,84.82,1.03,1.04,1.08,1.10,1.16,1.10,1.04,1.08,1.08,1.13,1.09,1.07,1.09,1.04,1.07,1.12,1.06,1.07,1.14,,1.03,1.09,1.07,85.79,85.81,88.74,91.54,95.92,90.37,86.38,89.48,89.61,93.19,89.17,88.89,89.22,86.02,87.63,92.41,86.97,87.99,93.96,,82.85,87.17,84.67,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,,,,,,,,,,,1,1,0,0,0,,,,,,,,1,,,,,,
,5911,59111,1,1,1,5,1,1,998.00,1,2,96,98,2015,1,,2,1,1,,4,4,1,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,48,2,,,2,1,2,8,,,2,2,2,2,1,,1.36,105.24,1.24,1.28,1.40,1.34,1.49,1.39,1.30,1.39,1.25,1.39,1.36,1.29,1.28,1.34,1.42,1.38,1.36,1.24,1.48,,1.27,1.39,1.36,102.65,103.61,113.99,109.36,122.26,113.47,105.28,113.41,103.15,114.32,110.62,105.18,103.74,109.90,115.43,112.30,110.75,100.70,120.86,,100.93,109.90,106.45,2,12,1,,,2,,1,,,2,12,2,1,,1,,,2,,1,2,2200.00,1,1,3,1.08,84.82,1.03,1.04,1.08,1.10,1.16,1.10,1.04,1.08,1.08,1.13,1.09,1.07,1.09,1.04,1.07,1.12,1.06,1.07,1.14,,1.03,1.09,1.07,85.79,85.81,88.74,91.54,95.92,90.37,86.38,89.48,89.61,93.19,89.17,88.89,89.22,86.02,87.63,92.41,86.97,87.99,93.96,,82.85,87.17,84.67,999,1,0,1,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,,,,,,,,,,,1,1,0,0,0,,,,,,,,1,2,3,2,1,0,3
,5911,59115,0,1,5,5,4,5,32.00,1,2,96,98,2016,1,2,8,1,4,97,3,3,2,1,,2,2,1,40,82,13.00,,,13.00,,,,,,,37,40,23000.00,1,10,2016,2,2,1,1,,1,,,,35,2,,,2,8,2,1,12,2017,,1,1,2,1,,0.70,54.50,0.59,0.70,0.71,0.69,0.70,0.70,0.69,0.70,0.73,0.70,0.66,0.69,1.19,0.70,0.73,0.68,0.75,0.69,0.74,,0.70,0.71,0.71,48.43,57.04,58.16,56.18,57.34,56.96,56.14,56.93,60.30,57.71,53.74,56.64,95.89,56.89,59.02,55.66,60.65,55.96,60.28,,55.41,55.76,55.30,2,12,1,,,2,,1,,,2,12,2,1,,1,,,2,,1,2,2200.00,1,1,3,1.08,84.82,1.03,1.04,1.08,1.10,1.16,1.10,1.04,1.08,1.08,1.13,1.09,1.07,1.09,1.04,1.07,1.12,1.06,1.07,1.14,,1.03,1.09,1.07,85.79,85.81,88.74,91.54,95.92,90.37,86.38,89.48,89.61,93.19,89.17,88.89,89.22,86.02,87.63,92.41,86.97,87.99,93.96,,82.85,87.17,84.67,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,,,,,,,,,,,1,1,0,0,0,,,,,,,,1,1,1,2,1,0,1
,5912,59121,1,2,1,4,1,1,43.00,1,2,96,97,2016,1,,15,6,4,97,2,1,2,1,,2,1,,75,,25.00,,,,,,,,,,52,50,100000.00,1,4,2016,2,3,1,1,,1,,,,24,2,,,97,2,2,8,,,2,1,1,5,4,,0.72,55.83,0.68,0.67,0.73,0.71,0.81,0.73,0.70,0.72,0.71,0.73,0.73,0.73,,0.70,0.70,0.71,0.71,0.70,0.75,0.71,0.70,0.74,0.73,56.05,54.26,59.41,57.86,65.90,59.49,56.95,58.88,58.68,59.92,59.49,59.42,,57.02,57.00,58.12,57.96,56.89,60.68,57.61,55.66,58.63,57.36,1,,2,12,2,1,,1,,,2,12,2,1,,1,,,3,2,1,2,3500.00,2,1,3,1.30,102.40,1.23,1.26,1.32,1.38,1.42,1.30,1.26,1.34,1.33,1.35,1.29,1.25,,1.25,1.25,1.36,1.27,1.31,1.37,1.30,1.26,1.33,1.32,102.68,103.70,108.76,114.01,118.19,106.86,104.23,110.63,110.69,112.08,105.82,103.49,,103.36,103.08,111.92,104.74,107.67,112.29,107.54,101.90,106.14,104.63,3,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,1,1,0,0,,,,,,0,1,1,0,0,,,,,,,,1,1,1,2,1,0,1
,5912,59124,0,2,4,4,2,1,28.00,2,14,96,97,2017,1,2,14,6,4,97,3,1,2,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,24,2,,,98,2,1,,,,2,1,1,5,1,,0.40,31.13,0.40,0.38,0.43,0.42,0.42,0.43,0.40,0.40,0.37,0.36,0.41,0.41,,0.38,0.39,0.39,0.43,0.40,0.39,0.37,0.39,0.40,0.40,33.31,30.97,35.35,34.40,34.20,34.64,32.79,32.34,30.21,29.43,33.43,33.19,,31.04,31.49,31.96,34.76,32.17,31.70,30.54,30.68,31.83,31.60,1,,2,12,2,1,,1,,,2,12,2,1,,1,,,3,2,1,2,3500.00,2,1,3,1.30,102.40,1.23,1.26,1.32,1.38,1.42,1.30,1.26,1.34,1.33,1.35,1.29,1.25,,1.25,1.25,1.36,1.27,1.31,1.37,1.30,1.26,1.33,1.32,102.68,103.70,108.76,114.01,118.19,106.86,104.23,110.63,110.69,112.08,105.82,103.49,,103.36,103.08,111.92,104.74,107.67,112.29,107.54,101.90,106.14,104.63,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,,,,,,0,1,1,0,0,,,,,,0,1,1,0,0,,,,,,,,1,2,3,1,2,0,3
,5912,59123,0,2,3,4,5,1,64.00,2,2,24,97,2014,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,12,2,1,,1,,,2,12,2,1,,1,,,3,2,1,2,3500.00,2,1,3,1.30,102.40,1.23,1.26,1.32,1.38,1.42,1.30,1.26,1.34,1.33,1.35,1.29,1.25,,1.25,1.25,1.36,1.27,1.31,1.37,1.30,1.26,1.33,1.32,102.68,103.70,108.76,114.01,118.19,106.86,104.23,110.63,110.69,112.08,105.82,103.49,,103.36,103.08,111.92,104.74,107.67,112.29,107.54,101.90,106.14,104.63,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,,,,,,0,1,1,0,0,,,,,,,,1,,,,,,
,5912,59122,0,2,2,4,5,1,69.00,1,2,24,97,2014,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,12,2,1,,1,,,2,12,2,1,,1,,,3,2,1,2,3500.00,2,1,3,1.30,102.40,1.23,1.26,1.32,1.38,1.42,1.30,1.26,1.34,1.33,1.35,1.29,1.25,,1.25,1.25,1.36,1.27,1.31,1.37,1.30,1.26,1.33,1.32,102.68,103.70,108.76,114.01,118.19,106.86,104.23,110.63,110.69,112.08,105.82,103.49,,103.36,103.08,111.92,104.74,107.67,112.29,107.54,101.90,106.14,104.63,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,,,,,,0,1,1,0,0,,,,,,,,1,,,,,,
,5916,59162,0,1,2,5,5,5,67.00,2,2,96,97,2015,1,2,0,1,5,97,4,4,1,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,3,2,,,97,1,2,8,,,2,9,9,3,1,,1.28,99.21,1.17,1.25,1.41,1.31,1.23,1.36,1.27,1.29,1.17,1.27,1.26,1.28,1.18,1.21,1.27,1.21,1.37,1.22,,1.28,1.26,1.28,1.28,96.75,101.06,114.72,107.32,100.80,111.08,103.19,105.52,96.61,104.27,102.28,104.83,95.52,98.94,102.79,98.61,111.54,98.88,,104.37,100.21,101.33,100.13,2,12,8,,,2,,1,,,2,12,2,1,,1,,,2,,1,2,3500.00,1,1,5,1.31,103.37,1.23,1.28,1.33,1.30,1.28,1.35,1.27,1.33,1.31,1.34,1.34,1.33,1.38,1.27,1.34,1.35,1.31,1.29,,1.32,1.30,1.35,1.32,102.72,105.68,109.52,107.86,106.23,110.83,105.56,109.78,108.96,110.93,109.94,110.14,112.54,105.36,110.46,111.65,107.40,105.92,,108.83,105.16,107.70,104.15,5,0,0,1,0,0,0,0,0,0,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,1,0,0,0,,,,,,,,,,,0,1,0,0,0,,,,,,,,1,2,3,999,1,0,3
,5916,59164,0,1,4,5,9,1,29.00,1,2,96,97,2015,1,2,10,5,4,97,3,2,2,1,,2,1,,70,,9998.00,999998,,,,,,,,,52,60,999998.00,1,10,2015,2,12,98,1,,1,,,,3,2,,,97,2,2,8,,,2,1,1,3,8,,1.40,109.00,1.31,1.34,1.46,1.36,1.46,1.43,1.40,1.43,1.32,1.38,1.43,1.36,1.06,1.38,1.36,1.39,1.42,1.43,,1.41,1.40,1.43,1.42,108.43,108.72,118.62,111.00,119.76,116.55,113.68,117.38,108.48,113.39,115.79,111.28,85.74,113.06,110.40,113.37,114.94,116.52,,115.28,111.30,112.91,110.95,2,12,8,,,2,,1,,,2,12,2,1,,1,,,2,,1,2,3500.00,1,1,5,1.31,103.37,1.23,1.28,1.33,1.30,1.28,1.35,1.27,1.33,1.31,1.34,1.34,1.33,1.38,1.27,1.34,1.35,1.31,1.29,,1.32,1.30,1.35,1.32,102.72,105.68,109.52,107.86,106.23,110.83,105.56,109.78,108.96,110.93,109.94,110.14,112.54,105.36,110.46,111.65,107.40,105.92,,108.83,105.16,107.70,104.15,2,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,,,,,,,,,,,0,1,0,0,0,,,,,,999998,,1,1,1,2,1,0,1
,5916,59165,0,1,5,5,4,,6.00,1,14,96,97,2015,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,242.82,2.95,2.56,3.14,3.82,3.10,3.41,3.11,2.93,3.25,3.14,4.08,2.87,2.96,2.72,3.65,3.74,3.12,3.20,,3.27,3.04,2.92,3.14,243.51,207.90,255.81,312.51,253.78,277.44,252.56,239.64,267.16,257.50,331.40,234.60,239.34,222.17,296.50,304.56,253.23,259.90,,266.95,241.57,230.90,245.44,2,12,8,,,2,,1,,,2,12,2,1,,1,,,2,,1,2,3500.00,1,1,5,1.31,103.37,1.23,1.28,1.33,1.30,1.28,1.35,1.27,1.33,1.31,1.34,1.34,1.33,1.38,1.27,1.34,1.35,1.31,1.29,,1.32,1.30,1.35,1.32,102.72,105.68,109.52,107.86,106.23,110.83,105.56,109.78,108.96,110.93,109.94,110.14,112.54,105.36,110.46,111.65,107.40,105.92,,108.83,105.16,107.70,104.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,,,,,,,,,,,0,1,0,0,0,,,,,,,,1,,,,,,
,5916,59163,0,1,3,5,6,1,29.00,2,97,96,97,2015,1,2,8,97,1,,4,3,1,1,,2,1,,70,,14.00,,,,,,,,,,52,70,999998.00,1,10,2015,2,7,98,1,,1,,,,3,2,,,97,2,2,8,,,2,1,1,3,4,,1.54,119.97,1.36,1.52,1.64,1.45,1.77,1.59,1.47,1.51,1.52,1.55,1.53,1.41,1.23,1.50,1.59,1.58,1.63,1.53,,1.53,1.52,1.57,1.57,112.29,123.04,133.71,118.86,144.80,129.11,119.52,123.62,125.33,127.21,124.56,115.31,99.53,122.72,129.18,128.89,132.63,124.01,,124.49,120.38,123.78,122.78,2,12,8,,,2,,1,,,2,12,2,1,,1,,,2,,1,2,3500.00,1,1,5,1.31,103.37,1.23,1.28,1.33,1.30,1.28,1.35,1.27,1.33,1.31,1.34,1.34,1.33,1.38,1.27,1.34,1.35,1.31,1.29,,1.32,1.30,1.35,1.32,102.72,105.68,109.52,107.86,106.23,110.83,105.56,109.78,108.96,110.93,109.94,110.14,112.54,105.36,110.46,111.65,107.40,105.92,,108.83,105.16,107.70,104.15,2,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,,,,,,,,,,,0,1,0,0,0,,,,,,,,1,1,1,2,1,0,1
,5916,59161,1,1,1,5,1,4,30.00,2,2,96,97,2015,1,,10,5,2,97,4,3,1,1,,1,,,,,,,,,,,2,12,3,1,98,98,999998.00,1,10,2015,2,12,98,1,,1,,,,3,2,,,97,7,2,8,,,2,2,2,3,8,,0.81,62.66,0.74,0.77,0.87,0.77,0.86,0.86,0.78,0.79,0.76,0.81,0.81,0.82,0.75,0.79,0.82,0.77,0.83,0.78,,0.81,0.80,0.81,0.82,60.92,62.44,70.53,63.31,70.44,70.06,63.40,64.53,62.53,66.85,65.97,66.79,60.89,64.67,66.60,62.99,67.64,63.15,,66.11,63.19,63.76,63.94,2,12,8,,,2,,1,,,2,12,2,1,,1,,,2,,1,2,3500.00,1,1,5,1.31,103.37,1.23,1.28,1.33,1.30,1.28,1.35,1.27,1.33,1.31,1.34,1.34,1.33,1.38,1.27,1.34,1.35,1.31,1.29,,1.32,1.30,1.35,1.32,102.72,105.68,109.52,107.86,106.23,110.83,105.56,109.78,108.96,110.93,109.94,110.14,112.54,105.36,110.46,111.65,107.40,105.92,,108.83,105.16,107.70,104.15,3,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,98,98,98,98,98,1,1,0,0,0,,,,,,,,,,,0,1,0,0,0,,,,,,,,1,2,3,999,1,0,2
,5917,59171,1,1,1,4,1,1,42.00,1,2,96,97,2015,1,,7,3,8,97,3,3,2,1,,2,1,,40,,15.00,,,,,,,,,,52,40,999998.00,1,11,2015,2,97,1,1,,1,,,,50,2,,,98,2,2,1,10,2016,,1,1,5,4,,0.76,58.68,0.67,0.80,0.81,0.69,0.72,0.81,0.72,0.77,0.71,0.77,,0.76,0.81,0.71,0.74,0.77,0.78,0.76,0.76,0.77,0.75,0.76,0.75,55.25,64.86,65.69,56.63,58.68,66.07,58.26,62.94,58.28,63.35,,61.87,65.81,58.12,60.43,62.38,63.38,61.36,61.97,63.20,59.61,59.82,58.92,1,,1,,,3,3,1,,,1,,,3,16,1,,,8,,1,1,900.00,2,1,5,0.81,63.30,0.75,0.80,0.82,0.80,0.79,0.82,0.79,0.83,0.78,0.84,,0.82,0.83,0.77,0.80,0.83,0.79,0.82,0.84,0.80,0.79,0.82,0.80,62.72,65.80,67.56,65.95,65.48,67.52,65.18,68.58,65.01,69.82,,68.08,67.85,63.71,65.84,68.08,64.68,67.42,69.00,65.83,64.04,65.40,63.46,3,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,0,1
,5917,59173,0,1,3,4,4,,998.00,2,14,96,97,2015,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,87.35,1.32,0.87,1.15,1.15,1.03,1.24,1.16,1.07,1.09,1.09,,1.17,1.05,1.10,1.27,1.35,1.03,1.01,0.84,1.30,1.12,1.14,1.14,108.95,70.89,93.59,94.48,83.97,101.30,94.39,87.24,89.73,89.38,,95.42,85.04,89.90,102.73,110.03,83.92,82.23,68.56,105.84,89.26,89.81,88.78,1,,1,,,3,3,1,,,1,,,3,16,1,,,8,,1,1,900.00,2,1,5,0.81,63.30,0.75,0.80,0.82,0.80,0.79,0.82,0.79,0.83,0.78,0.84,,0.82,0.83,0.77,0.80,0.83,0.79,0.82,0.84,0.80,0.79,0.82,0.80,62.72,65.80,67.56,65.95,65.48,67.52,65.18,68.58,65.01,69.82,,68.08,67.85,63.71,65.84,68.08,64.68,67.42,69.00,65.83,64.04,65.40,63.46,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,5917,59174,0,1,4,4,4,,998.00,2,14,96,97,2015,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,186.51,2.55,1.91,2.47,2.48,2.20,2.72,2.36,2.33,2.37,2.25,,2.42,2.34,2.41,2.58,2.98,2.23,2.22,1.87,2.82,2.35,2.38,2.42,210.18,155.07,201.45,203.49,180.29,221.58,191.62,191.00,194.93,184.97,,197.59,188.91,197.24,209.77,242.06,181.15,180.73,152.68,230.30,186.81,187.78,188.74,1,,1,,,3,3,1,,,1,,,3,16,1,,,8,,1,1,900.00,2,1,5,0.81,63.30,0.75,0.80,0.82,0.80,0.79,0.82,0.79,0.83,0.78,0.84,,0.82,0.83,0.77,0.80,0.83,0.79,0.82,0.84,0.80,0.79,0.82,0.80,62.72,65.80,67.56,65.95,65.48,67.52,65.18,68.58,65.01,69.82,,68.08,67.85,63.71,65.84,68.08,64.68,67.42,69.00,65.83,64.04,65.40,63.46,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,5917,59172,0,1,2,4,2,1,998.00,2,14,97,97,2015,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,28.80,0.35,0.39,0.39,0.38,0.33,0.41,0.36,0.39,0.33,0.33,,0.38,0.40,0.35,0.35,0.39,0.40,0.37,0.36,0.36,0.36,0.37,0.37,28.61,31.34,31.58,30.85,26.66,33.52,29.18,31.87,27.41,27.24,,30.65,32.61,28.90,28.60,31.65,32.18,30.06,29.67,29.64,28.26,29.36,28.55,1,,1,,,3,3,1,,,1,,,3,16,1,,,8,,1,1,900.00,2,1,5,0.81,63.30,0.75,0.80,0.82,0.80,0.79,0.82,0.79,0.83,0.78,0.84,,0.82,0.83,0.77,0.80,0.83,0.79,0.82,0.84,0.80,0.79,0.82,0.80,62.72,65.80,67.56,65.95,65.48,67.52,65.18,68.58,65.01,69.82,,68.08,67.85,63.71,65.84,68.08,64.68,67.42,69.00,65.83,64.04,65.40,63.46,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,5926,59263,0,2,3,4,4,4,18.00,1,14,96,97,2016,4,2,9,3,6,97,8,2,2,6,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,2,2,1,1,40,2,,,98,2,2,1,12,2018,,1,1,5,4,,1.26,97.84,1.14,1.26,1.34,1.24,1.20,1.26,1.22,1.30,1.34,1.18,1.31,1.18,1.33,1.27,1.22,1.14,,1.26,1.43,1.24,1.31,1.28,1.27,93.86,101.77,109.51,101.68,98.24,102.34,99.30,106.30,110.14,96.84,106.77,96.50,107.35,103.57,99.43,92.63,,102.54,116.09,101.53,103.71,100.86,99.51,1,,1,,,2,,1,,,1,,,2,,1,,,8,,1,1,1500.00,2,1,5,1.26,99.16,1.22,1.21,1.28,1.29,1.27,1.27,1.27,1.31,1.28,1.19,1.30,1.20,1.30,1.22,1.25,1.24,,1.30,1.30,1.21,1.25,1.33,1.31,101.72,100.17,105.59,106.67,105.64,104.08,104.80,108.09,106.44,98.77,106.20,99.22,106.46,100.95,102.55,102.53,,106.69,107.27,99.78,101.11,106.28,103.12,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,1,1,3
,5926,59264,0,2,4,4,4,4,18.00,2,14,96,97,2016,4,2,9,3,6,97,3,2,2,6,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,2,2,1,1,40,2,,,98,2,2,1,12,2018,,1,1,5,4,,1.31,102.04,1.31,1.31,1.41,1.33,1.28,1.28,1.27,1.30,1.35,1.21,1.42,1.25,1.47,1.25,1.29,1.22,,1.30,1.48,1.26,1.33,1.33,1.37,107.94,106.58,115.06,109.31,104.60,104.52,103.22,106.25,111.36,99.22,115.63,101.80,118.74,101.86,105.00,99.18,,105.66,120.49,102.68,105.35,105.45,107.10,1,,1,,,2,,1,,,1,,,2,,1,,,8,,1,1,1500.00,2,1,5,1.26,99.16,1.22,1.21,1.28,1.29,1.27,1.27,1.27,1.31,1.28,1.19,1.30,1.20,1.30,1.22,1.25,1.24,,1.30,1.30,1.21,1.25,1.33,1.31,101.72,100.17,105.59,106.67,105.64,104.08,104.80,108.09,106.44,98.77,106.20,99.22,106.46,100.95,102.55,102.53,,106.69,107.27,99.78,101.11,106.28,103.12,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,1,1,3
,5926,59261,1,2,1,4,1,1,43.00,1,2,96,97,2016,4,,2,1,8,97,4,3,1,1,,2,1,,37,,15.00,,,,,,,,,,52,37,999998.00,1,10,2016,2,5,1,1,,1,,,,40,2,,,98,2,2,1,12,2017,,1,1,5,4,,1.16,89.71,1.03,1.17,1.18,1.10,1.14,1.15,1.13,1.19,1.13,1.11,1.20,1.12,1.21,1.09,1.16,1.12,,1.19,1.25,1.16,1.19,1.19,1.17,85.30,94.50,96.00,90.16,93.10,93.67,92.02,97.29,93.21,91.03,97.45,91.74,97.53,89.44,94.08,91.19,,96.34,101.42,94.51,94.34,93.76,91.16,1,,1,,,2,,1,,,1,,,2,,1,,,8,,1,1,1500.00,2,1,5,1.26,99.16,1.22,1.21,1.28,1.29,1.27,1.27,1.27,1.31,1.28,1.19,1.30,1.20,1.30,1.22,1.25,1.24,,1.30,1.30,1.21,1.25,1.33,1.31,101.72,100.17,105.59,106.67,105.64,104.08,104.80,108.09,106.44,98.77,106.20,99.22,106.46,100.95,102.55,102.53,,106.69,107.27,99.78,101.11,106.28,103.12,3,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,0,1
